,UNIT_TYPE,CLIMATE_REGION,DECADE_BUILT,FLOOR_AREA_log,COOL_TYPE,EQUIP_AGE,HEAT_TYPE,THERMOSTAT,HIGH_CEIL,ATTIC,BASEMENT,BEDROOMS,BATHROOMS,SIZEOFGARAGE,STORIES,OWNERSHIP,COOL_COST_log,HEAT_COST_log,WATERHEAT_COST_log,ELECT_COST_log,TOT_COST_log
716,Attached house,Mixed-Humid,.<1950,7.693937325509272,Individual,F: +20 yrs,Central water system,1.0,0.0,1.0,1.0,4,0-1,0.0,2,Rented,5.078543132703431,6.917972900842554,5.63092500235281,6.839272991410745,7.775082631686008
717,Attached house,Hot-Humid,2000-2009,7.457609289715606,Central,D: 10-14 yrs,Central furnace,1.0,1.0,1.0,0.0,0-2,1.5-2,2.0,1,Rented,5.342047129409362,5.299266915583625,5.5851866087427915,7.31515850772056,7.685009205505721
718,Detached house,Mixed-Humid,2000-2009,7.926241523170962,Central,D: 10-14 yrs,Central furnace,0.0,1.0,1.0,1.0,4,2.5-3.5,2.0,1,Owned,5.797970813310776,6.950920126876864,5.15178757385214,7.309459992326607,8.018905307348208
719,Detached house,Hot-Dry/Mixed-Dry,2000-2009,8.037543185118697,Central,D: 10-14 yrs,Central furnace,1.0,1.0,1.0,0.0,4,2.5-3.5,3.0,2,Owned,5.133973242984735,5.287054174269326,4.570889252011217,6.08116813018976,6.80086025323236
720,Detached house,Hot-Humid,1950-1959,7.460490305825338,Both central and individual,B: 2-4 yrs,Central furnace,1.0,0.0,1.0,0.0,3,0-1,0.0,1,Owned,6.8769454945886075,6.01173275228047,5.777373646625042,7.303964348493809,8.065874702565614
721,Apartment in bld with 5+ units,Mixed-Humid,1980-1989,6.755768921984255,Central,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,0.0,0-2,1.5-2,0.0,1,Rented,4.977560986366827,5.843602386365598,6.01856888329999,7.013087794247956,7.605496888968819
722,Detached house,Hot-Humid,.<1950,7.170888478512505,Central,F: +20 yrs,Central heat pump,1.0,0.0,1.0,0.0,3,0-1,0.0,1,Owned,6.772702729985675,4.738213959745856,5.437122329425219,6.647454883271573,7.593626050571306
723,Detached house,Hot-Dry/Mixed-Dry,1950-1959,7.029972911706386,None,None,None,0.0,0.0,1.0,0.0,0-2,1.5-2,0.0,1,Owned,0.0,0.0,5.505697322682768,5.313944622433736,6.105328803257029
724,Detached house,Hot-Humid,1960-1969,7.427144133408616,Central,A: -2 yrs,Central furnace,1.0,0.0,0.0,0.0,4,1.5-2,0.0,1,Owned,6.229831630193678,4.413767520457944,5.109756384964063,5.912745962396577,7.023402702508099
725,Detached house,Hot-Dry/Mixed-Dry,1980-1989,6.846943139585379,Central,D: 10-14 yrs,Central furnace,1.0,0.0,1.0,0.0,0-2,1.5-2,2.0,1,Owned,5.725152500392394,5.721622392784532,5.2049403170427375,6.917230249344655,7.495858560422616
726,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,1990-1999,6.744059186311348,None,F: +20 yrs,Central furnace,1.0,0.0,0.0,0.0,0-2,1.5-2,0.0,1,Rented,0.0,4.882877677292668,5.00085428224115,6.643008177812852,6.952680842335129
727,Detached house,Cold/Very Cold,.<1950,7.878534196140362,Individual,F: +20 yrs,Central furnace,1.0,0.0,0.0,1.0,+4,1.5-2,2.0,2,Owned,4.934330037886181,7.926382358323648,6.218261416920094,7.358015279191261,8.512365557119358
728,Detached house,Hot-Humid,2000-2009,8.01102337918644,Central,C: 5-9 yrs,Central furnace,1.0,0.0,1.0,0.0,3,2.5-3.5,2.0,2,Owned,6.6375332227736035,6.43068675201428,6.790175972571541,7.334401149289507,8.24327989285028
729,Detached house,Hot-Dry/Mixed-Dry,2000-2009,8.23217423638394,Both central and individual,D: 10-14 yrs,Central furnace,1.0,1.0,1.0,0.0,4,2.5-3.5,2.0,3,Owned,6.0513359441453725,4.646120172317046,5.394944860131629,7.1525194119548,7.61256913840913
730,Attached house,Mixed-Humid,.<1950,7.257707677160043,Individual,F: +20 yrs,Central furnace,0.0,0.0,0.0,1.0,0-2,0-1,0.0,2,Rented,4.774322068733404,6.304613322708618,5.185036680089071,6.329792204228655,7.24575491995577
731,Detached house,Mixed-Humid,2000-2009,6.769641976852503,Individual,F: +20 yrs,Other individual,0.0,0.0,1.0,0.0,0-2,0-1,0.0,1,Rented,4.304200219209375,6.1435416499883315,5.078543132703431,6.870043027528218,7.414717449213405
732,Attached house,Mixed-Humid,1980-1989,7.679713639966372,Central,D: 10-14 yrs,Central heat pump,0.0,0.0,0.0,1.0,3,2.5-3.5,0.0,3,Owned,5.256244590126129,6.409121695981509,5.304050898395797,7.148652300680321,7.727385319521661
733,Detached house,Mixed-Humid,1990-1999,8.024534871605695,Central,A: -2 yrs,Central heat pump,1.0,0.0,1.0,1.0,+4,2.5-3.5,1.0,2,Owned,5.964761164273432,5.8786037523231345,5.614696219321766,7.6129397201525855,8.020408530350002
734,Apartment in bld with 5+ units,Cold/Very Cold,1960-1969,6.621405651764134,Individual,F: +20 yrs,Other individual,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,2.7447035187502458,4.058371901763283,4.759006530702958,6.311752957808554,6.60405221980951
735,Detached house,Hot-Humid,2000-2009,7.620214770574455,Central,D: 10-14 yrs,Central furnace,1.0,1.0,0.0,0.0,4,2.5-3.5,3.0,1,Owned,7.25932018890793,5.204226443148441,6.505754164315135,7.191293778681035,8.187891584271346
736,Apartment in bld with 2-4 units,Cold/Very Cold,.<1950,7.2909747781429814,Individual,F: +20 yrs,Central water system,1.0,0.0,0.0,0.0,3,1.5-2,0.0,1,Owned,4.883104906984992,6.766041933858513,5.674937084542365,6.828798647980425,7.701860297622611
737,Detached house,Mixed-Humid,1980-1989,7.693937325509272,Central,C: 5-9 yrs,Other individual,1.0,0.0,0.0,0.0,3,2.5-3.5,1.0,2,Owned,5.839070656555716,6.776495589798622,6.665467133820242,7.320156278091414,8.164145945132566
738,Detached house,Cold/Very Cold,.<1950,7.978310969867722,Both central and individual,E: 15-19 yrs,Central furnace,1.0,1.0,1.0,1.0,3,0-1,0.0,2,Owned,5.095711466451375,5.931369472556642,5.365976015021851,6.539065589036588,7.274223115638731
739,Detached house,Mixed-Humid,2000-2009,8.965845494750937,Central,D: 10-14 yrs,Central furnace,1.0,1.0,1.0,1.0,+4,+3.5,3.0,3,Owned,6.682534571872727,7.252875726081182,5.6722918075648305,8.897214671659311,9.191135126212119
740,Detached house,Hot-Humid,1950-1959,7.776115477098742,Central,D: 10-14 yrs,Central heat pump,1.0,0.0,1.0,0.0,4,1.5-2,1.0,1,Owned,6.429703348876805,5.015954455573856,5.335179531280603,6.715043934788129,7.495553054933639
741,Detached house,Cold/Very Cold,1960-1969,7.313886831633462,Central,A: -2 yrs,Central furnace,1.0,0.0,0.0,0.0,0-2,0-1,1.0,1,Owned,4.756087071304952,5.6331453950567605,3.889572876590554,6.571610988580684,7.052928640140586
742,Detached house,Hot-Dry/Mixed-Dry,2000-2009,8.003363058629947,Central,D: 10-14 yrs,Central furnace,1.0,1.0,0.0,0.0,4,2.5-3.5,3.0,1,Owned,5.729645134181928,4.912875449645338,4.534640419797564,6.422808555758562,7.047351990316095
743,Detached house,Hot-Humid,2000-2009,8.106212902619962,Central,C: 5-9 yrs,Central furnace,0.0,1.0,0.0,0.0,4,2.5-3.5,2.0,2,Rented,6.435541208510255,6.6237995882711695,6.372141621406648,7.834542727067256,8.408518300390574
744,Detached house,Hot-Humid,1970-1979,7.3914152346753585,Central,D: 10-14 yrs,Central furnace,1.0,1.0,1.0,0.0,3,1.5-2,2.0,1,Owned,6.429203215766442,6.208710743156108,5.486206727645455,7.167392752208138,7.8828958822638855
745,Detached house,Cold/Very Cold,2000-2009,7.5678626054638825,Individual,D: 10-14 yrs,Central furnace,1.0,0.0,0.0,1.0,3,1.5-2,0.0,1,Owned,3.2741212990941793,6.608499825910891,6.358327417434204,7.2342421127065935,7.911382668269842
746,Apartment in bld with 5+ units,Mixed-Humid,2010-2015,7.1846291527173145,None,B: 2-4 yrs,Other individual,1.0,0.0,0.0,0.0,0-2,1.5-2,0.0,1,Rented,0.0,5.064176061024286,5.502400415123504,6.366470447731438,6.891148140668422
747,Detached house,Mixed-Humid,.<1950,7.2305631534092925,Central,B: 2-4 yrs,Central furnace,1.0,0.0,1.0,0.0,3,0-1,0.0,1,Owned,6.32310369457549,7.183544409933911,5.582969854439453,7.505316241642748,8.28283954107404
748,Apartment in bld with 2-4 units,Hot-Humid,1990-1999,6.516193076042964,None,E: 15-19 yrs,Central furnace,1.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,0.0,1.840549633397487,3.4301087251565754,6.028832583576721,6.110158279065687
749,Detached house,Hot-Humid,1980-1989,8.053887083618223,Central,D: 10-14 yrs,Central furnace,1.0,1.0,1.0,0.0,4,2.5-3.5,2.0,2,Owned,6.6706268941429,5.784624862500301,4.919907930463299,6.891900249658038,7.710836998388209
750,Detached house,Hot-Dry/Mixed-Dry,2000-2009,8.191740021277457,Central,D: 10-14 yrs,Central furnace,1.0,1.0,0.0,0.0,4,2.5-3.5,3.0,1,Rented,6.70148113571093,5.500890796117536,5.858247390820336,7.288422102250148,7.961680474361009
751,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,1980-1989,6.511745329644728,None,None,None,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,0.0,0.0,4.437934266612178,5.727466448660353,5.9681703313049
752,Detached house,Cold/Very Cold,2000-2009,7.002155954403621,Central,C: 5-9 yrs,Central furnace,1.0,0.0,1.0,0.0,4,1.5-2,2.0,2,Owned,3.175132901920282,5.998961375534605,5.5295481280448655,6.113947631322531,7.028281216109215
753,Mobile home,Marine,1950-1959,6.22455842927536,None,None,None,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Owned,0.0,0.0,6.506142740189462,6.799055862058796,7.355794445849222
754,Detached house,Hot-Humid,2000-2009,7.745002803515839,Central,C: 5-9 yrs,Central heat pump,1.0,1.0,1.0,0.0,3,2.5-3.5,2.0,2,Rented,6.1655018843142395,3.6373229671995344,5.605802066295998,6.909344016270435,7.486960786396417
755,Attached house,Hot-Humid,1980-1989,6.729824070489475,Central,C: 5-9 yrs,Central furnace,1.0,0.0,0.0,0.0,3,1.5-2,1.0,1,Owned,5.388843393247408,2.0955609235597192,5.159400067361368,6.943739992701647,7.268766806335996
756,Detached house,Cold/Very Cold,1990-1999,8.498010371999463,Central,E: 15-19 yrs,Central furnace,1.0,1.0,0.0,1.0,4,2.5-3.5,2.0,2,Owned,4.420165031564935,6.850327417079614,5.033635418325317,7.278477101946035,7.873434091476147
757,Detached house,Marine,1960-1969,7.368970402194793,None,None,None,0.0,0.0,0.0,0.0,0-2,1.5-2,2.0,1,Owned,0.0,0.0,4.925948485929061,5.832234321537425,6.169485201600231
758,Attached house,Mixed-Humid,.<1950,7.886457270977689,None,C: 5-9 yrs,Other individual,0.0,0.0,0.0,1.0,3,2.5-3.5,0.0,2,Owned,0.0,5.678943184642556,5.345391773933965,6.742691938744452,7.206466308281652
759,Detached house,Cold/Very Cold,2000-2009,8.464846711044029,Central,C: 5-9 yrs,Central furnace,1.0,1.0,1.0,1.0,4,2.5-3.5,3.0,1,Owned,4.936127241921194,6.188531027912072,4.907198852146794,6.802939059612651,7.414036592995378
760,Detached house,Hot-Humid,.<1950,7.461640392208575,Individual,F: +20 yrs,Other individual,0.0,1.0,1.0,0.0,3,1.5-2,0.0,1,Owned,6.632897291981249,0.0,5.563753830052498,6.475925661442644,7.419260671652885
761,Detached house,Hot-Humid,1980-1989,7.491645473605133,Central,None,None,0.0,1.0,1.0,0.0,4,2.5-3.5,2.0,1,Owned,7.480236522315448,0.0,5.795419249094217,7.255096801739793,8.164723677960017
762,Detached house,Cold/Very Cold,1960-1969,7.706612913964197,Central,D: 10-14 yrs,Central furnace,1.0,0.0,1.0,1.0,4,2.5-3.5,2.0,1,Owned,4.271374364570287,6.9890034136826555,4.358502089626924,6.432425490900987,7.5246043985860185
763,Detached house,Marine,1960-1969,8.134174272137903,Both central and individual,C: 5-9 yrs,Other individual,1.0,0.0,1.0,0.0,4,2.5-3.5,2.0,2,Owned,4.551030739887443,7.1319143145176715,5.193234590094884,7.503967460433512,8.113210983268244
764,Apartment in bld with 2-4 units,Cold/Very Cold,.<1950,6.5722825426940075,Central,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,4.975629684897441,4.77144704561319,5.325835252584776,5.877511667031951,6.712263372634794
765,Attached house,Hot-Dry/Mixed-Dry,1990-1999,7.579167967396076,None,E: 15-19 yrs,Central furnace,0.0,0.0,1.0,0.0,3,2.5-3.5,2.0,2,Owned,0.0,3.927896354584436,5.638034333334139,6.43639072409706,6.860516910155265
766,Detached house,Cold/Very Cold,1980-1989,8.634264863002075,Central,C: 5-9 yrs,Central furnace,1.0,1.0,1.0,1.0,3,2.5-3.5,3.0,1,Owned,5.050240548688615,6.439222567406397,5.037861280349847,7.177538111546086,7.715480364249517
767,Detached house,Cold/Very Cold,1980-1989,8.068402958569699,Individual,D: 10-14 yrs,Central water system,1.0,1.0,0.0,1.0,3,2.5-3.5,0.0,2,Owned,4.911256850115977,7.244927270717623,6.5446741448688925,7.141395546507311,8.158375954405471
768,Apartment in bld with 5+ units,Cold/Very Cold,1970-1979,6.3818160174060985,Individual,E: 15-19 yrs,Other individual,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,2.7047112998366956,5.813413857164673,3.9512437185814275,6.408726465095658,6.913568350296429
769,Detached house,Cold/Very Cold,1950-1959,7.467942332285852,Central,D: 10-14 yrs,Central furnace,0.0,0.0,1.0,1.0,0-2,0-1,1.0,1,Owned,4.1217975890034015,6.311825549137551,4.996130607893374,6.747105190348219,7.383461368253113
770,Detached house,Mixed-Humid,1990-1999,8.216358332386156,Central,B: 2-4 yrs,Central heat pump,1.0,1.0,1.0,1.0,4,2.5-3.5,2.0,2,Owned,4.950460571060185,6.120121579316244,5.717619631444223,7.4721937049962435,7.884501206556227
771,Mobile home,Mixed-Humid,1980-1989,7.155396301896734,Individual,B: 2-4 yrs,Other individual,0.0,0.0,0.0,0.0,4,1.5-2,0.0,1,Owned,5.07698467463779,5.265587541925118,5.064049670730892,6.21802226352198,6.918487482311164
772,Detached house,Cold/Very Cold,.<1950,7.370860166536716,Both central and individual,B: 2-4 yrs,Central furnace,1.0,0.0,1.0,1.0,4,2.5-3.5,1.0,2,Owned,6.0572991030295285,8.00918692286397,5.211615032708743,7.224104979999106,8.514828397493874
773,Detached house,Hot-Dry/Mixed-Dry,1970-1979,7.741099090035366,Both central and individual,B: 2-4 yrs,Central heat pump,1.0,0.0,0.0,0.0,3,1.5-2,2.0,1,Owned,6.56429266651554,5.57644140618771,4.140114296466289,7.045027167222368,7.687259038865172
774,Detached house,Hot-Dry/Mixed-Dry,1980-1989,7.3783837129967145,None,None,None,0.0,1.0,1.0,0.0,4,1.5-2,2.0,1,Owned,0.0,0.0,5.2526398530513845,5.70074453144275,6.1926896343211695
775,Apartment in bld with 5+ units,Cold/Very Cold,.<1950,7.293697720601438,Central,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,4.522657764413627,6.062994198246903,4.567883601202075,6.049544758184506,6.946013991099227
776,Detached house,Hot-Humid,1980-1989,6.814542897259958,Central,B: 2-4 yrs,Other individual,1.0,0.0,0.0,0.0,0-2,1.5-2,0.0,1,Owned,5.395262572604516,4.4073288175361,5.074861266395527,6.437015378755432,6.988320926821705
777,Apartment in bld with 2-4 units,Cold/Very Cold,.<1950,7.871692664323645,Central,F: +20 yrs,Central water system,1.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Owned,5.337249576549824,6.103028282950449,6.011071076746901,7.025324958546395,7.689293301299203
778,Detached house,Mixed-Humid,1950-1959,7.393263094763838,Central,C: 5-9 yrs,Central furnace,1.0,0.0,1.0,0.0,3,1.5-2,0.0,1,Owned,5.516408174225595,6.865411293487667,6.445957886283501,7.684811529349189,8.296419330167405
779,Apartment in bld with 5+ units,Hot-Humid,2010-2015,6.7226297948554485,Central,None,None,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,5.282086353437619,0.0,5.073923033332174,7.1258058832303375,7.376652045881694
780,Detached house,Cold/Very Cold,2010-2015,8.409385238781931,Central,C: 5-9 yrs,Central furnace,1.0,0.0,1.0,1.0,3,1.5-2,0.0,1,Owned,3.8093256071898036,7.270264172296843,5.9444777558836455,6.479921855011964,7.829077332503495
781,Detached house,Hot-Humid,2000-2009,7.507141079727608,Central,C: 5-9 yrs,Central heat pump,1.0,0.0,1.0,0.0,3,1.5-2,2.0,1,Owned,6.513096570838958,5.678601409458943,5.53153005353903,6.909992773922329,7.704460351449534
782,Apartment in bld with 2-4 units,Hot-Humid,1970-1979,6.4967749901858625,None,D: 10-14 yrs,Central furnace,1.0,1.0,0.0,0.0,,0-1,0.0,1,Rented,0.0,4.352340324303521,4.675069313367758,6.366470447731438,6.63974510632782
783,Detached house,Cold/Very Cold,1970-1979,8.184513753033722,None,F: +20 yrs,Central furnace,1.0,0.0,1.0,1.0,4,1.5-2,2.0,2,Owned,0.0,6.005194853556241,5.487780031493358,6.889163518291006,7.394388614974418
784,Apartment in bld with 5+ units,Cold/Very Cold,2000-2009,6.6293632534374485,Individual,F: +20 yrs,Other individual,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,3.2741212990941793,6.1905612772636385,6.305252866644242,7.232819837621248,7.801023003698752
785,Apartment in bld with 5+ units,Hot-Humid,1950-1959,5.988961416889864,None,None,None,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Owned,0.0,0.0,6.873877864946175,7.594381242551817,7.990471898244862
786,Attached house,Cold/Very Cold,1960-1969,7.663407664893479,None,C: 5-9 yrs,Other individual,0.0,0.0,0.0,1.0,3,0-1,0.0,1,Rented,0.0,5.477592621405586,5.307722994622132,6.958410369761081,7.307282794423548
787,Apartment in bld with 5+ units,Cold/Very Cold,2000-2009,6.82001636467413,Individual,C: 5-9 yrs,Other individual,0.0,0.0,0.0,0.0,3,1.5-2,0.0,1,Rented,2.5273273656719524,4.787991617823697,5.870200459614943,6.410109090328261,6.995637942957665
788,Detached house,Cold/Very Cold,2000-2009,7.741099090035366,Central,B: 2-4 yrs,Central heat pump,1.0,0.0,0.0,0.0,4,2.5-3.5,2.0,2,Owned,4.430340494952432,6.433840009236244,6.160447539462756,7.554355776884961,8.034695839637104
789,Apartment in bld with 5+ units,Cold/Very Cold,.<1950,6.638567789166521,Individual,F: +20 yrs,Central water system,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,3.5225296668296804,5.850563205864396,5.370684538673937,5.998092533398203,6.90371713664904
790,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,1980-1989,6.849066282633458,None,None,None,0.0,0.0,0.0,0.0,0-2,1.5-2,0.0,1,Rented,0.0,0.0,5.047160068778628,5.704249032467843,6.119681844908736
791,Attached house,Cold/Very Cold,1950-1959,7.069874128458572,None,A: -2 yrs,Central water system,1.0,0.0,0.0,0.0,0-2,1.5-2,1.0,1,Owned,0.0,6.735316724042131,5.369148547308628,7.166265974133638,7.761868433828874
792,Detached house,Hot-Humid,1950-1959,6.796823718274855,Individual,E: 15-19 yrs,Other individual,0.0,0.0,0.0,0.0,0-2,0-1,1.0,1,Rented,5.710724986222776,6.5036891917876805,5.472900727246869,7.212574665229772,7.848238986453765
793,Apartment in bld with 5+ units,Cold/Very Cold,1990-1999,6.3835066348840055,Individual,F: +20 yrs,Central water system,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,2.0918640616783932,4.881513213769878,5.272230031784718,6.065876044621792,6.636838546196244
794,Detached house,Cold/Very Cold,1970-1979,7.7651449029361315,Central,E: 15-19 yrs,Central furnace,1.0,0.0,0.0,1.0,3,0-1,2.0,1,Owned,4.655102554736301,6.323336934912773,5.032722890560261,6.915802810561438,7.507130096690908
795,Apartment in bld with 2-4 units,Hot-Dry/Mixed-Dry,1960-1969,6.579251212010101,Individual,B: 2-4 yrs,Other individual,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,5.2735635020818075,6.058281720145299,5.36550861608836,7.394769651644589,7.808363683454185
796,Detached house,Cold/Very Cold,2000-2009,8.524962928680598,Central,D: 10-14 yrs,Central furnace,1.0,1.0,0.0,1.0,4,2.5-3.5,3.0,3,Owned,5.31684467116192,6.27705693769468,5.371614295609493,6.866881199772164,7.553873743112306
797,Apartment in bld with 5+ units,Mixed-Humid,1970-1979,6.660575149839686,Individual,A: -2 yrs,Other individual,1.0,0.0,0.0,0.0,3,0-1,0.0,1,Rented,4.38962271129551,5.614805530841487,6.853964130711315,7.249385618260973,7.903574124610625
798,Apartment in bld with 5+ units,Cold/Very Cold,1990-1999,6.398594934535208,Central,C: 5-9 yrs,Central furnace,0.0,0.0,0.0,0.0,0-2,1.5-2,0.0,1,Owned,3.3755376348815775,4.942499198329286,4.689695141057779,6.781863203754876,7.053490649208048
799,Mobile home,Mixed-Humid,1990-1999,7.155396301896734,Central,E: 15-19 yrs,Central furnace,0.0,0.0,0.0,0.0,0-2,1.5-2,0.0,1,Owned,5.561027724964261,6.331875445578559,5.714788353832735,7.9483888174263955,8.2823894232266
800,Detached house,Cold/Very Cold,1950-1959,7.478169694159785,Central,C: 5-9 yrs,Central furnace,0.0,0.0,1.0,1.0,0-2,0-1,0.0,1,Owned,4.6137334166485795,6.75405616385086,6.141305955347142,7.082649319947295,7.867553675733201
801,Mobile home,Hot-Dry/Mixed-Dry,1970-1979,7.273092595999522,Individual,F: +20 yrs,Other individual,0.0,0.0,0.0,0.0,0-2,1.5-2,0.0,1,Owned,4.671706709788335,6.096432485717521,5.931926834391786,6.184396283013952,7.25145136069267
802,Detached house,Hot-Humid,1980-1989,7.491645473605133,Central,C: 5-9 yrs,Central heat pump,0.0,1.0,1.0,0.0,3,2.5-3.5,2.0,1,Owned,6.450486219807702,6.286742696181391,5.876053695596654,7.860856128549889,8.323013605268898
803,Detached house,Cold/Very Cold,.<1950,8.35819745992578,Central,A: -2 yrs,Central water system,1.0,1.0,1.0,1.0,4,1.5-2,0.0,2,Owned,3.1276373444339294,5.964812516110555,5.60642687106484,6.505933525788771,7.208282004543977
804,Detached house,Hot-Humid,1980-1989,7.113956109566034,Central,C: 5-9 yrs,Central furnace,1.0,0.0,1.0,0.0,,0-1,1.0,1,Owned,6.012516393804594,6.003714212661897,6.257552638747504,7.2258307567537114,7.903544570508144
805,Detached house,Cold/Very Cold,1950-1959,7.83241092718792,None,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,1.0,3,1.5-2,0.0,2,Owned,0.0,7.073972860027533,6.841508633163211,7.518243415577031,8.283003859462774
806,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,1950-1959,6.22455842927536,Individual,None,None,0.0,0.0,0.0,0.0,,0-1,0.0,1,Rented,4.183880527532955,0.0,4.406719247264253,5.889044149508512,6.2278796406154315
807,Detached house,Cold/Very Cold,1960-1969,8.282230063296685,Individual,F: +20 yrs,Central water system,0.0,0.0,1.0,1.0,3,1.5-2,2.0,1,Owned,4.990092392864926,6.508471029949054,4.000400116045559,6.291402459001222,7.250834214654206
808,Detached house,Hot-Dry/Mixed-Dry,1980-1989,7.470224135899966,Central,D: 10-14 yrs,Central furnace,1.0,1.0,0.0,0.0,0-2,1.5-2,0.0,2,Owned,4.930725910867953,4.634728988229636,5.156869002963662,6.3784940930604614,6.908894629675563
809,Detached house,Cold/Very Cold,1970-1979,7.652070746116482,Central,B: 2-4 yrs,Central furnace,1.0,0.0,1.0,1.0,4,2.5-3.5,2.0,3,Owned,4.768223972424389,4.661455996998683,4.04795152265239,6.308662945171033,6.717913516188306
810,Attached house,Marine,1980-1989,7.045776576879511,None,F: +20 yrs,Central furnace,0.0,0.0,0.0,0.0,0-2,2.5-3.5,2.0,2,Owned,0.0,3.4294608469350147,3.6958550678503617,5.746011478873911,5.945630010764183
811,Apartment in bld with 2-4 units,Cold/Very Cold,2000-2009,7.989899374942939,Central,C: 5-9 yrs,Central furnace,1.0,1.0,0.0,0.0,3,2.5-3.5,0.0,1,Owned,4.296468746312235,6.723784362742399,6.199981651560028,7.191971351790744,7.909805270941292
812,Detached house,Hot-Humid,1980-1989,7.244941546337007,Central,B: 2-4 yrs,Central heat pump,1.0,0.0,1.0,0.0,3,1.5-2,0.0,1,Owned,5.7896237228676535,4.938207960160669,5.5258512661635395,7.047743282760013,7.5308930000760546
813,Attached house,Hot-Humid,2000-2009,6.53813982376767,Central,E: 15-19 yrs,Other individual,1.0,0.0,1.0,0.0,0-2,1.5-2,0.0,2,Rented,5.302807271820889,4.961304984074315,5.308911054758907,6.674384608512411,7.19643934926638
814,Apartment in bld with 5+ units,Cold/Very Cold,1980-1989,7.130098510125578,None,F: +20 yrs,Other individual,0.0,0.0,0.0,0.0,3,0-1,0.0,1,Rented,0.0,3.8997479745525334,5.286801310586789,6.960537464421106,7.169580936888691
815,Detached house,Hot-Humid,1950-1959,7.047517221357296,Central,C: 5-9 yrs,Central heat pump,1.0,0.0,1.0,0.0,0-2,1.5-2,2.0,1,Rented,6.300069942171702,5.5397722376335,5.087658061722327,6.92799898545918,7.590190288562407
816,Apartment in bld with 5+ units,Hot-Humid,1970-1979,6.317164686747284,Central,F: +20 yrs,Central furnace,0.0,1.0,0.0,0.0,,0-1,0.0,1,Rented,5.462220337817973,3.9078141606540915,4.7487509144656155,5.526965738496691,6.475787045293641
817,Detached house,Cold/Very Cold,.<1950,8.412943170042439,Individual,C: 5-9 yrs,Other individual,1.0,0.0,1.0,1.0,3,1.5-2,0.0,2,Owned,5.221706264176197,6.0127122082710125,6.956907282441741,7.664337246789442,8.23541366461707
818,Detached house,Hot-Dry/Mixed-Dry,.<1950,7.0909098220799835,Central,B: 2-4 yrs,Central furnace,1.0,0.0,0.0,0.0,3,1.5-2,0.0,1,Owned,6.488809716460095,5.875969516969558,5.999680701879322,7.4898591607487575,8.072220849111558
819,Detached house,Cold/Very Cold,2000-2009,7.901377353792616,Central,D: 10-14 yrs,Central furnace,1.0,1.0,0.0,1.0,+4,2.5-3.5,3.0,1,Owned,4.504797211841304,6.164324820112424,5.286700147207846,7.311392050033605,7.722181598921842
820,Detached house,Cold/Very Cold,.<1950,7.284134806195205,Central,E: 15-19 yrs,Central furnace,1.0,0.0,0.0,1.0,3,0-1,0.0,1,Owned,4.711510221759418,6.960812516706486,5.1585954233728994,6.521916312009151,7.609123573388654
821,Detached house,Marine,2000-2009,7.724888439323074,Central,D: 10-14 yrs,Central furnace,0.0,1.0,0.0,0.0,3,2.5-3.5,1.0,2,Owned,3.9891692146047997,5.795297583491974,5.162554915534036,6.745777379571774,7.247671578005905
822,Apartment in bld with 2-4 units,Cold/Very Cold,1960-1969,6.78105762593618,None,B: 2-4 yrs,Other individual,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,0.0,4.486386649998124,4.522549157299754,5.634253745337369,6.12844000213506
823,Detached house,Cold/Very Cold,1950-1959,7.77863014732581,Central,A: -2 yrs,Central furnace,1.0,0.0,1.0,1.0,+4,+3.5,2.0,1,Owned,5.186155999659706,6.0221149863067405,5.18772094520601,6.40276261040859,7.223149790000454
824,Mobile home,Hot-Humid,1980-1989,6.645090969505644,Individual,A: -2 yrs,Other individual,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,1.4609379041156565,2.4756977107026903,2.7587433154177283,4.063025878964673,4.467401256243195
