,UNIT_TYPE,CLIMATE_REGION,DECADE_BUILT,FLOOR_AREA,COOL_TYPE,EQUIP_AGE,HEAT_TYPE,HIGH_CEIL,ATTIC,BASEMENT,BEDROOMS,THERMOSTAT,SIZEOFGARAGE,STORIES,OWNERSHIP,COOL_COST,HEAT_COST,WATERHEAT_COST,HOTTUB,SWIMPOOL,BATHROOMS,ELECT_COST,TOT_COST
2528,Detached house,Cold/Very Cold,1970-1979,1920.0,Central,D: 10-14 yrs,Central furnace,0.0,0.0,1.0,4,1.0,,1,Owned,64.44,615.21,145.56,0,0.0,2.5-3.5,1186.94,2012.15
2529,Mobile home,Cold/Very Cold,2000-2009,1408.0,Central,D: 10-14 yrs,Central furnace,,,,0-2,0.0,,NA,Owned,66.22,747.56,551.17,0,0.0,1.5-2,1209.74,2574.6899999999996
2530,Detached house,Hot-Humid,1970-1979,1943.0,Central,D: 10-14 yrs,Central heat pump,1.0,1.0,0.0,3,1.0,2.0,1,Owned,537.51,526.82,534.62,0,0.0,1.5-2,2307.59,3906.54
2531,Detached house,Hot-Humid,1970-1979,1392.0,Central,D: 10-14 yrs,Central furnace,0.0,1.0,0.0,3,1.0,2.0,2,Owned,791.83,158.1,136.96,0,0.0,1.5-2,383.15999999999997,1470.0500000000002
2532,Apartment in bld with 5+ units,Cold/Very Cold,1990-1999,881.0,None,D: 10-14 yrs,Central furnace,0.0,,,0-2,0.0,,NA,Rented,0.0,51.53,133.2,0,,1.5-2,419.12,603.85
2533,Detached house,Cold/Very Cold,1970-1979,1496.0,Individual,C: 5-9 yrs,Other individual,0.0,1.0,0.0,0-2,0.0,3.0,1,Owned,18.35,245.98,129.4,0,0.0,0-1,746.74,1140.47
2534,Detached house,Cold/Very Cold,1990-1999,1472.0,Central,B: 2-4 yrs,Central furnace,1.0,1.0,0.0,3,0.0,2.0,1,Owned,142.14,1064.08,180.08,0,0.0,1.5-2,1075.6599999999999,2461.9599999999996
2535,Detached house,Mixed-Humid,2000-2009,1224.0,Central,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,3,1.0,,1,Rented,160.99,806.74,543.98,0,0.0,1.5-2,1740.27,3251.98
2536,Mobile home,Hot-Humid,1990-1999,1232.0,Central,E: 15-19 yrs,Central furnace,,,,3,0.0,,NA,Rented,694.6,901.93,1168.39,0,0.0,1.5-2,3794.0899999999997,6559.01
2537,Apartment in bld with 2-4 units,Cold/Very Cold,.<1950,835.0,Individual,D: 10-14 yrs,Central furnace,0.0,,,3,1.0,,NA,Rented,0.0,205.13,232.76,0,,0-1,47.96,485.84999999999997
2538,Detached house,Cold/Very Cold,2010-2015,1006.0,Central,B: 2-4 yrs,Central furnace,1.0,0.0,0.0,0-2,1.0,2.0,1,Owned,90.82,314.43,194.94,0,0.0,2.5-3.5,820.51,1420.7
2539,Detached house,Mixed-Humid,1970-1979,4250.0,Central,C: 5-9 yrs,Central water system,0.0,1.0,1.0,3,0.0,1.0,1,Owned,270.92,1348.15,132.33,0,0.0,1.5-2,614.3799999999999,2365.7799999999997
2540,Apartment in bld with 5+ units,Mixed-Humid,.<1950,1516.0,Individual,F: +20 yrs,Central water system,0.0,,,0-2,,,NA,Rented,310.14,577.44,349.72,0,,2.5-3.5,737.5200000000001,1974.8200000000002
2541,Detached house,Mixed-Humid,2000-2009,2640.0,Central,D: 10-14 yrs,Central heat pump,1.0,1.0,0.0,4,0.0,2.0,2,Owned,558.05,687.09,376.06,1,0.0,2.5-3.5,2237.6400000000003,3858.84
2542,Detached house,Cold/Very Cold,1950-1959,2000.0,Both central and individual,C: 5-9 yrs,Central furnace,0.0,0.0,1.0,3,0.0,,2,Rented,241.6,679.21,207.15,0,0.0,0-1,829.64,1957.6
2543,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,1990-1999,693.0,Individual,None,None,0.0,,,,,,NA,Rented,28.79,0.0,58.0,0,,0-1,106.41,193.2
2544,Attached house,Hot-Dry/Mixed-Dry,1980-1989,1130.0,Central,D: 10-14 yrs,Central heat pump,1.0,1.0,0.0,0-2,0.0,1.0,1,Owned,338.33,125.41,167.25,0,0.0,1.5-2,1218.67,1849.66
2545,Detached house,Cold/Very Cold,2000-2009,3467.0,Central,E: 15-19 yrs,Central furnace,1.0,1.0,1.0,3,1.0,3.0,2,Owned,294.06,463.2,71.94,0,0.0,2.5-3.5,888.78,1717.98
2546,Detached house,Hot-Dry/Mixed-Dry,.<1950,820.0,Individual,None,None,1.0,0.0,0.0,0-2,,,1,Rented,264.34,0.0,119.44,0,0.0,0-1,813.1800000000001,1196.96
2547,Detached house,Cold/Very Cold,2000-2009,4500.0,Individual,C: 5-9 yrs,Other individual,1.0,1.0,1.0,4,,,2,Owned,131.02,227.75,403.99,0,1.0,2.5-3.5,2063.83,2826.59
2548,Apartment in bld with 5+ units,Cold/Very Cold,1980-1989,1042.0,Central,F: +20 yrs,Central furnace,1.0,,,0-2,1.0,,NA,Owned,26.82,226.81,142.32,0,,1.5-2,466.63,862.5799999999999
2549,Detached house,Mixed-Humid,1970-1979,2702.0,Central,F: +20 yrs,Central furnace,0.0,1.0,0.0,3,0.0,2.0,1,Owned,108.48,503.1,123.41,0,0.0,1.5-2,936.8199999999999,1671.81
2550,Detached house,Hot-Dry/Mixed-Dry,2000-2009,3175.0,Central,D: 10-14 yrs,Other individual,1.0,0.0,0.0,4,1.0,2.0,2,Owned,426.2,1375.59,604.77,0,0.0,2.5-3.5,2497.8,4904.360000000001
2551,Apartment in bld with 5+ units,Mixed-Humid,.<1950,600.0,Individual,E: 15-19 yrs,Central water system,0.0,,,0-2,,,NA,Rented,191.44,188.53,220.58,0,,0-1,586.3599999999999,1186.9099999999999
2552,Attached house,Mixed-Humid,.<1950,1800.0,Central,E: 15-19 yrs,Central furnace,0.0,0.0,1.0,0-2,1.0,,2,Owned,345.72,775.75,119.56,0,0.0,1.5-2,641.65,1882.6799999999998
2553,Apartment in bld with 5+ units,Hot-Humid,2000-2009,1100.0,Central,D: 10-14 yrs,Central furnace,0.0,,,0-2,0.0,,NA,Rented,180.69,85.32,188.41,0,,1.5-2,723.31,1177.73
2554,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,1980-1989,392.0,Individual,None,None,0.0,,,,,,NA,Rented,26.35,0.0,72.52,0,,0-1,190.20000000000002,289.07000000000005
2555,Detached house,Hot-Humid,2010-2015,3574.0,Central,B: 2-4 yrs,Central heat pump,1.0,1.0,0.0,+4,0.0,2.0,2,Owned,863.89,450.5,714.73,0,0.0,+3.5,2762.1,4791.219999999999
2556,Detached house,Mixed-Humid,2000-2009,1224.0,None,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,4,0.0,2.0,2,Owned,0.0,352.64,500.64,0,0.0,1.5-2,1722.64,2575.92
2557,Detached house,Mixed-Humid,1970-1979,3440.0,Both central and individual,A: -2 yrs,Central heat pump,0.0,1.0,1.0,+4,1.0,2.0,2,Owned,368.51,742.08,329.26,0,0.0,2.5-3.5,1508.84,2948.69
2558,Apartment in bld with 5+ units,Mixed-Humid,1980-1989,800.0,Individual,A: -2 yrs,Central furnace,1.0,,,0-2,1.0,,NA,Rented,110.15,225.51,106.52,0,,1.5-2,712.01,1154.19
2559,Detached house,Hot-Dry/Mixed-Dry,.<1950,1590.0,Central,F: +20 yrs,Central furnace,0.0,0.0,0.0,3,0.0,,1,Owned,678.96,252.79,460.97,0,0.0,1.5-2,1010.99,2403.71
2560,Detached house,Cold/Very Cold,1960-1969,4549.0,Central,A: -2 yrs,Central furnace,0.0,1.0,1.0,4,1.0,2.0,3,Owned,130.94,821.22,126.32,0,0.0,2.5-3.5,651.8900000000001,1730.3700000000001
2561,Detached house,Cold/Very Cold,1990-1999,1960.0,None,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,3,0.0,,1,Owned,0.0,0.0,0.0,0,0.0,1.5-2,900.0,900.0
2562,Detached house,Hot-Dry/Mixed-Dry,2000-2009,3132.0,Central,C: 5-9 yrs,Central furnace,1.0,0.0,0.0,4,1.0,3.0,2,Rented,255.79,910.25,653.92,0,0.0,2.5-3.5,1683.71,3503.67
2563,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,1960-1969,599.0,None,None,None,0.0,,,,,,NA,Rented,0.0,0.0,83.93,0,,0-1,260.18,344.11
2564,Detached house,Cold/Very Cold,2000-2009,4012.0,Central,E: 15-19 yrs,Central furnace,1.0,1.0,1.0,4,0.0,2.0,2,Owned,218.92,1528.51,231.57,0,0.0,2.5-3.5,2654.2799999999997,4633.28
2565,Detached house,Hot-Humid,1980-1989,1990.0,Central,D: 10-14 yrs,Central furnace,1.0,1.0,0.0,3,0.0,1.0,2,Owned,448.54,371.43,128.09,0,0.0,1.5-2,840.8199999999999,1788.88
2566,Attached house,Marine,1990-1999,1510.0,None,E: 15-19 yrs,Other individual,1.0,0.0,0.0,3,0.0,1.0,2,Rented,0.0,232.25,255.75,0,0.0,1.5-2,826.4,1314.4
2567,Detached house,Mixed-Humid,2000-2009,2040.0,Central,D: 10-14 yrs,Central furnace,1.0,0.0,1.0,3,0.0,,1,Owned,272.47,255.62,219.22,0,0.0,1.5-2,986.74,1734.0500000000002
2568,Apartment in bld with 5+ units,Hot-Humid,1980-1989,1062.0,None,C: 5-9 yrs,Central furnace,0.0,,,0-2,1.0,,NA,Rented,0.0,52.4,219.22,0,,1.5-2,854.43,1126.05
2569,Detached house,Mixed-Humid,1980-1989,5627.0,Central,D: 10-14 yrs,Central furnace,0.0,1.0,0.0,3,0.0,2.0,2,Owned,270.29,800.9,194.03,0,0.0,2.5-3.5,634.5,1899.72
2570,Apartment in bld with 5+ units,Hot-Humid,1990-1999,1052.0,Central,E: 15-19 yrs,Central furnace,0.0,,,0-2,0.0,,NA,Rented,123.08,154.39,222.58,0,,1.5-2,698.77,1198.82
2571,Detached house,Mixed-Humid,1970-1979,2126.0,Central,C: 5-9 yrs,Central heat pump,0.0,0.0,0.0,3,0.0,2.0,1,Owned,405.93,778.38,985.51,0,0.0,1.5-2,2532.17,4701.99
2572,Detached house,Mixed-Humid,.<1950,2511.0,Individual,D: 10-14 yrs,Other individual,0.0,0.0,0.0,4,,,1,Owned,244.08,857.49,471.78,0,0.0,0-1,1115.92,2689.27
2573,Detached house,Cold/Very Cold,1990-1999,2736.0,Central,D: 10-14 yrs,Central furnace,1.0,0.0,1.0,3,1.0,2.0,1,Owned,47.09,1544.56,440.66,1,1.0,1.5-2,1250.0700000000002,3282.38
2574,Detached house,Cold/Very Cold,1980-1989,3068.0,Central,F: +20 yrs,Central furnace,0.0,1.0,1.0,3,1.0,2.0,1,Owned,216.53,356.86,109.87,0,0.0,2.5-3.5,868.22,1551.48
2575,Detached house,Mixed-Humid,1950-1959,1710.0,Central,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,0-2,1.0,,1,Owned,817.18,519.73,228.86,0,0.0,1.5-2,518.2000000000002,2083.9700000000003
2576,Detached house,Hot-Dry/Mixed-Dry,1990-1999,2442.0,Central,E: 15-19 yrs,Central furnace,0.0,0.0,0.0,4,1.0,2.0,1,Owned,1324.89,374.41,337.65,1,1.0,1.5-2,739.53,2776.4800000000005
2577,Detached house,Marine,1960-1969,2456.0,Central,A: -2 yrs,Central heat pump,0.0,1.0,0.0,4,1.0,2.0,1,Owned,60.91,440.77,743.24,0,0.0,1.5-2,1782.6699999999998,3027.59
2578,Detached house,Hot-Humid,1970-1979,961.0,Central,C: 5-9 yrs,Central furnace,0.0,0.0,0.0,3,0.0,,1,Rented,364.29,466.01,364.81,0,0.0,0-1,1434.99,2630.1
2579,Detached house,Cold/Very Cold,1970-1979,1204.0,Central,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,3,0.0,,1,Rented,30.3,588.06,144.4,0,0.0,0-1,603.1,1365.86
2580,Detached house,Mixed-Humid,1990-1999,3140.0,Central,D: 10-14 yrs,Central heat pump,1.0,1.0,0.0,3,0.0,2.0,2,Owned,182.83,475.77,194.51,0,0.0,2.5-3.5,1277.13,2130.2400000000002
2581,Detached house,Cold/Very Cold,2000-2009,5801.0,Central,B: 2-4 yrs,Central furnace,1.0,1.0,1.0,+4,1.0,3.0,1,Owned,187.65,634.63,128.48,1,0.0,2.5-3.5,1320.1899999999998,2270.95
2582,Apartment in bld with 5+ units,Mixed-Humid,.<1950,914.0,Individual,F: +20 yrs,Central water system,0.0,,,4,,,NA,Rented,129.8,377.71,383.6,0,,0-1,337.2,1228.31
2583,Detached house,Mixed-Humid,2000-2009,585.0,None,D: 10-14 yrs,Other individual,1.0,0.0,0.0,0-2,,,2,Owned,0.0,0.0,664.37,0,0.0,0-1,947.46,1611.83
2584,Detached house,Mixed-Humid,.<1950,1267.0,Central,F: +20 yrs,Other individual,0.0,1.0,0.0,0-2,,,1,Owned,587.24,40.13,219.76,0,0.0,1.5-2,1000.8699999999999,1848.0
2585,Attached house,Marine,.<1950,3105.0,None,C: 5-9 yrs,Central water system,1.0,0.0,0.0,3,1.0,2.0,Split-level,Owned,0.0,791.46,257.24,0,0.0,2.5-3.5,1999.86,3048.56
2586,Detached house,Hot-Humid,1970-1979,1150.0,Central,E: 15-19 yrs,Central furnace,0.0,0.0,0.0,3,1.0,1.0,1,Rented,363.84,132.26,181.14,0,0.0,1.5-2,692.8200000000002,1370.0600000000002
2587,Mobile home,Mixed-Humid,1980-1989,888.0,Central,A: -2 yrs,Central furnace,,,,3,1.0,,NA,Rented,80.12,64.22,211.29,0,0.0,0-1,838.85,1194.48
2588,Detached house,Cold/Very Cold,.<1950,2474.0,Central,F: +20 yrs,Central furnace,0.0,0.0,1.0,4,0.0,1.0,1,Owned,97.48,480.09,91.11,0,0.0,2.5-3.5,423.77,1092.4499999999998
2589,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,1970-1979,1190.0,Central,D: 10-14 yrs,Central furnace,1.0,,,0-2,1.0,,NA,Owned,171.7,80.31,117.47,0,,1.5-2,471.76000000000005,841.24
2590,Detached house,Cold/Very Cold,1970-1979,4029.0,Individual,D: 10-14 yrs,Other individual,0.0,1.0,1.0,+4,,1.0,2,Owned,162.77,536.64,771.24,0,0.0,1.5-2,2526.09,3996.7400000000002
2591,Apartment in bld with 5+ units,Cold/Very Cold,1990-1999,827.0,Central,F: +20 yrs,Central water system,1.0,,,0-2,0.0,,NA,Occupied,20.11,0.0,557.54,0,,0-1,554.89,1132.54
2592,Detached house,Mixed-Humid,2000-2009,2167.0,Central,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,3,0.0,2.0,1,Owned,180.39,367.21,174.57,0,0.0,1.5-2,1204.4099999999999,1926.5799999999997
2593,Attached house,Mixed-Humid,.<1950,3840.0,Individual,A: -2 yrs,Central furnace,1.0,1.0,1.0,3,0.0,,2,Owned,30.28,776.76,191.12,0,0.0,1.5-2,521.9300000000001,1520.0900000000001
2594,Detached house,Hot-Humid,2010-2015,2115.0,Central,E: 15-19 yrs,Central heat pump,1.0,0.0,0.0,0-2,0.0,1.0,1,Rented,212.73,71.39,134.86,0,0.0,1.5-2,839.49,1258.47
2595,Apartment in bld with 5+ units,Marine,1980-1989,991.0,None,C: 5-9 yrs,Central furnace,0.0,,,0-2,0.0,,NA,Rented,0.0,46.62,250.92,0,,1.5-2,569.13,866.67
2596,Detached house,Hot-Dry/Mixed-Dry,1990-1999,1572.0,Both central and individual,F: +20 yrs,Central furnace,1.0,0.0,0.0,0-2,0.0,,1,Owned,451.25,321.23,158.65,0,0.0,1.5-2,1245.75,2176.88
2597,Apartment in bld with 5+ units,Cold/Very Cold,1990-1999,924.0,Central,F: +20 yrs,Central furnace,0.0,,,0-2,0.0,,NA,Rented,56.01,462.41,100.21,0,,1.5-2,1055.03,1673.66
2598,Detached house,Cold/Very Cold,2000-2009,3200.0,Central,C: 5-9 yrs,Central heat pump,1.0,0.0,1.0,4,1.0,2.0,1,Owned,95.82,744.99,318.49,1,0.0,2.5-3.5,1933.91,3093.21
2599,Detached house,Marine,1950-1959,2620.0,None,A: -2 yrs,Central furnace,1.0,0.0,0.0,3,1.0,2.0,1,Owned,0.0,425.34,88.78,0,0.0,1.5-2,1904.55,2418.67
2600,Attached house,Cold/Very Cold,2000-2009,986.0,None,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,0-2,0.0,,2,Rented,0.0,285.43,117.01,0,0.0,1.5-2,919.4,1321.84
2601,Mobile home,Hot-Humid,1990-1999,1064.0,Individual,C: 5-9 yrs,Other individual,,,,0-2,,,NA,Rented,625.41,46.65,149.72,0,0.0,1.5-2,573.63,1395.4099999999999
2602,Detached house,Cold/Very Cold,.<1950,2427.0,Central,B: 2-4 yrs,Central furnace,0.0,1.0,1.0,0-2,0.0,,2,Rented,111.67,606.87,138.26,0,0.0,1.5-2,662.33,1519.13
2603,Detached house,Mixed-Humid,.<1950,2203.0,Central,C: 5-9 yrs,Central furnace,0.0,1.0,0.0,0-2,0.0,,1,Owned,321.18,937.93,193.8,0,0.0,1.5-2,685.0,2137.91
2604,Detached house,Marine,1960-1969,1062.0,None,B: 2-4 yrs,Other individual,1.0,0.0,0.0,0-2,,1.0,1,Owned,0.0,524.06,461.7,0,0.0,0-1,1535.49,2521.25
2605,Detached house,Hot-Humid,1980-1989,770.0,Central,F: +20 yrs,Central heat pump,1.0,0.0,0.0,0-2,0.0,1.0,1,Owned,149.64,25.28,113.81,0,0.0,0-1,423.51,712.24
2606,Apartment in bld with 5+ units,Mixed-Humid,1980-1989,1339.0,Central,C: 5-9 yrs,Central furnace,0.0,,,0-2,,,NA,Rented,255.29,89.08,201.39,0,,1.5-2,1092.56,1638.32
2607,Attached house,Cold/Very Cold,1980-1989,1750.0,Central,C: 5-9 yrs,Central furnace,1.0,1.0,0.0,0-2,0.0,1.0,2,Owned,77.29,399.81,71.74,0,0.0,1.5-2,692.86,1241.7
2608,Detached house,Hot-Humid,1990-1999,567.0,Individual,None,None,0.0,0.0,0.0,0-2,,,1,Occupied,188.23,0.0,243.16,0,0.0,0-1,86.77000000000001,518.16
2609,Detached house,Marine,.<1950,2091.0,None,F: +20 yrs,Central furnace,0.0,0.0,0.0,3,0.0,1.0,Split-level,Owned,0.0,108.07,190.15,0,0.0,2.5-3.5,1030.66,1328.88
2610,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,1980-1989,594.0,Central,None,None,1.0,,,0-2,,,NA,Rented,76.71,0.0,104.0,0,,0-1,793.24,973.95
2611,Detached house,Mixed-Humid,1970-1979,3328.0,Central,D: 10-14 yrs,Central heat pump,1.0,0.0,0.0,4,0.0,3.0,2,Owned,54.72,70.06,118.16,0,0.0,+3.5,793.65,1036.59
2612,Detached house,Cold/Very Cold,.<1950,3207.0,Individual,F: +20 yrs,Central furnace,0.0,1.0,1.0,3,1.0,,2,Owned,68.75,1581.69,167.43,0,0.0,0-1,634.63,2452.5
2613,Detached house,Hot-Humid,1950-1959,1208.0,Central,D: 10-14 yrs,Central furnace,0.0,1.0,0.0,0-2,0.0,,1,Owned,666.01,268.16,43.73,0,0.0,0-1,456.77,1434.67
2614,Mobile home,Hot-Humid,2000-2009,1408.0,Central,C: 5-9 yrs,Central furnace,,,,0-2,1.0,,NA,Owned,221.94,217.49,113.06,0,0.0,1.5-2,678.23,1230.72
2615,Attached house,Mixed-Humid,1960-1969,3948.0,Central,D: 10-14 yrs,Central heat pump,1.0,0.0,0.0,4,1.0,1.0,2,Rented,520.87,451.2,522.95,0,0.0,2.5-3.5,1499.12,2994.14
2616,Detached house,Hot-Dry/Mixed-Dry,2010-2015,6162.0,Central,B: 2-4 yrs,Other individual,1.0,0.0,0.0,+4,1.0,3.0,2,Owned,1618.43,1980.57,390.79,1,1.0,+3.5,4945.73,8935.52
2617,Detached house,Hot-Humid,1970-1979,860.0,Central,E: 15-19 yrs,Central furnace,0.0,0.0,0.0,3,1.0,2.0,1,Owned,22.23,45.07,36.86,0,0.0,1.5-2,268.19,372.35
2618,Detached house,Mixed-Humid,.<1950,2204.0,Both central and individual,A: -2 yrs,Central furnace,0.0,0.0,0.0,4,0.0,,2,Owned,344.05,556.29,481.13,0,0.0,1.5-2,1513.67,2895.14
2619,Detached house,Cold/Very Cold,1970-1979,2018.0,Central,F: +20 yrs,Central furnace,0.0,1.0,1.0,+4,1.0,,1,Owned,57.46,270.48,287.79,0,0.0,1.5-2,487.93,1103.66
2620,Detached house,Cold/Very Cold,1950-1959,1492.0,Central,D: 10-14 yrs,Central furnace,0.0,1.0,1.0,3,0.0,,1,Owned,144.69,657.43,508.76,0,0.0,2.5-3.5,1139.6399999999999,2450.5199999999995
2621,Attached house,Hot-Humid,1990-1999,1237.0,Central,B: 2-4 yrs,Central heat pump,1.0,1.0,0.0,0-2,1.0,,2,Owned,167.49,125.83,192.4,0,0.0,2.5-3.5,706.25,1191.97
2622,Detached house,Mixed-Humid,1980-1989,2820.0,Central,D: 10-14 yrs,Central furnace,1.0,0.0,0.0,3,1.0,2.0,2,Rented,237.24,860.26,525.73,0,0.0,2.5-3.5,1707.3799999999999,3330.6099999999997
2623,Apartment in bld with 5+ units,Cold/Very Cold,2000-2009,1156.0,Central,C: 5-9 yrs,Central furnace,0.0,,,0-2,0.0,,NA,Rented,33.25,213.87,216.87,0,,0-1,660.75,1124.74
2624,Detached house,Mixed-Humid,1980-1989,3522.0,Central,C: 5-9 yrs,Central heat pump,1.0,0.0,1.0,+4,1.0,,2,Owned,402.06,1658.26,358.94,1,0.0,2.5-3.5,3822.39,6241.65
2625,Detached house,Hot-Humid,1970-1979,2243.0,Central,C: 5-9 yrs,Central heat pump,0.0,0.0,0.0,3,1.0,1.0,1,Owned,269.59,55.85,168.91,0,0.0,1.5-2,700.6700000000001,1195.02
2626,Detached house,Cold/Very Cold,1950-1959,3089.0,Central,B: 2-4 yrs,Central furnace,0.0,0.0,1.0,3,1.0,2.0,1,Owned,101.31,745.63,353.83,0,0.0,1.5-2,1022.27,2223.04
2627,Apartment in bld with 2-4 units,Hot-Humid,2000-2009,1069.0,Central,None,None,0.0,,,0-2,,,NA,Rented,495.91,0.0,527.63,0,,0-1,1038.85,2062.39
2628,Detached house,Cold/Very Cold,1990-1999,2508.0,Central,D: 10-14 yrs,Other individual,1.0,0.0,1.0,3,1.0,2.0,1,Owned,77.26,993.77,311.15,1,0.0,0-1,1639.4,3021.58
2629,Detached house,Mixed-Humid,.<1950,1368.0,Central,B: 2-4 yrs,Central heat pump,0.0,1.0,0.0,4,1.0,,1,Owned,202.01,320.35,171.94,0,0.0,1.5-2,1159.45,1853.75
2630,Detached house,Mixed-Humid,1960-1969,2008.0,Both central and individual,C: 5-9 yrs,Central furnace,0.0,1.0,0.0,3,0.0,,1,Owned,314.42,1318.66,432.39,0,0.0,1.5-2,2545.74,4611.21
2631,Detached house,Hot-Dry/Mixed-Dry,1980-1989,1994.0,None,None,None,1.0,0.0,0.0,3,,2.0,1,Owned,0.0,0.0,193.0,0,1.0,1.5-2,1543.37,1736.37
2632,Apartment in bld with 5+ units,Cold/Very Cold,.<1950,1177.0,Central,E: 15-19 yrs,Central furnace,0.0,,,0-2,0.0,,NA,Rented,212.74,290.18,68.51,0,,0-1,405.31999999999994,976.75
2633,Detached house,Hot-Dry/Mixed-Dry,1960-1969,1392.0,Central,C: 5-9 yrs,Central furnace,0.0,0.0,0.0,3,0.0,2.0,1,Owned,1118.37,135.46,360.88,0,0.0,1.5-2,1118.7000000000003,2733.4100000000003
2634,Detached house,Cold/Very Cold,1990-1999,2470.0,Central,D: 10-14 yrs,Other individual,0.0,1.0,0.0,0-2,,,1,Occupied,80.89,138.57,168.24,0,1.0,1.5-2,1002.2900000000001,1389.99
2635,Detached house,Hot-Dry/Mixed-Dry,2010-2015,1400.0,Central,B: 2-4 yrs,Central furnace,0.0,0.0,0.0,0-2,1.0,2.0,2,Rented,173.58,173.0,168.62,0,0.0,2.5-3.5,495.38,1010.58
2636,Detached house,Mixed-Humid,1980-1989,2415.0,Central,D: 10-14 yrs,Central furnace,0.0,1.0,0.0,4,1.0,,Split-level,Owned,627.42,686.27,577.33,0,0.0,1.5-2,1324.13,3215.15
2637,Detached house,Marine,1960-1969,1792.0,Both central and individual,B: 2-4 yrs,Other individual,0.0,1.0,0.0,0-2,,,1,Owned,23.88,357.2,333.4,0,0.0,0-1,1009.82,1724.3000000000002
2638,Detached house,Mixed-Humid,1960-1969,2190.0,Individual,F: +20 yrs,Other individual,0.0,0.0,0.0,0-2,1.0,,1,Owned,213.32,214.42,296.98,0,0.0,1.5-2,1048.68,1773.4
2639,Detached house,Hot-Humid,1970-1979,782.0,Individual,F: +20 yrs,Other individual,1.0,0.0,0.0,0-2,,,1,Owned,190.57,372.34,342.46,0,0.0,0-1,694.4300000000001,1599.8
2640,Attached house,Hot-Dry/Mixed-Dry,1960-1969,472.0,Individual,None,None,0.0,0.0,0.0,0-2,,,1,Rented,70.49,0.0,139.37,0,0.0,0-1,678.4399999999999,888.3
2641,Detached house,Marine,1970-1979,1392.0,Central,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,4,1.0,,1,Owned,100.63,228.71,266.73,0,0.0,2.5-3.5,916.8,1512.87
2642,Detached house,Cold/Very Cold,2000-2009,3466.0,Central,C: 5-9 yrs,Central furnace,1.0,1.0,1.0,3,0.0,3.0,1,Owned,82.96,648.69,363.45,1,0.0,2.5-3.5,1552.51,2647.61
2643,Detached house,Marine,1990-1999,2348.0,Central,A: -2 yrs,Central heat pump,1.0,1.0,0.0,3,1.0,,3,Rented,65.75,517.89,1003.25,0,0.0,2.5-3.5,2247.11,3834.0
2644,Detached house,Hot-Dry/Mixed-Dry,1970-1979,1728.0,Central,B: 2-4 yrs,Central furnace,0.0,1.0,0.0,4,1.0,2.0,1,Owned,194.4,334.86,188.44,0,0.0,1.5-2,1481.05,2198.75
2645,Attached house,Mixed-Humid,1950-1959,1418.0,Individual,A: -2 yrs,Central water system,1.0,0.0,1.0,0-2,0.0,,2,Rented,90.98,832.18,148.03,0,0.0,0-1,321.29999999999995,1392.49
2646,Detached house,Hot-Humid,1950-1959,2372.0,Central,E: 15-19 yrs,Central furnace,0.0,1.0,0.0,3,0.0,2.0,1,Owned,1035.39,957.97,328.88,0,0.0,1.5-2,373.30999999999995,2695.55
2647,Detached house,Cold/Very Cold,2000-2009,3465.0,Both central and individual,C: 5-9 yrs,Central furnace,1.0,0.0,1.0,3,1.0,2.0,1,Owned,124.14,409.55,136.66,0,0.0,0-1,816.88,1487.23
2648,Detached house,Hot-Humid,1980-1989,1375.0,Central,B: 2-4 yrs,Central furnace,0.0,0.0,0.0,4,1.0,,1,Rented,311.48,589.26,447.15,0,0.0,1.5-2,1550.93,2898.8199999999997
2649,Detached house,Cold/Very Cold,.<1950,1440.0,Individual,F: +20 yrs,Central furnace,1.0,1.0,1.0,0-2,,,2,Owned,74.07,41.0,145.31,0,0.0,0-1,1087.6200000000001,1348.0
2650,Detached house,Mixed-Humid,.<1950,2900.0,Central,A: -2 yrs,Central furnace,1.0,1.0,1.0,3,1.0,,1,Owned,242.24,602.98,212.28,0,0.0,0-1,881.69,1939.19
2651,Apartment in bld with 5+ units,Mixed-Humid,1960-1969,769.0,Individual,F: +20 yrs,Central water system,0.0,,,0-2,,,NA,Owned,149.19,304.82,208.33,0,,0-1,621.8199999999999,1284.1599999999999
2652,Apartment in bld with 5+ units,Cold/Very Cold,1990-1999,458.0,Individual,C: 5-9 yrs,Other individual,0.0,,,,,,NA,Rented,23.94,103.46,210.27,0,,0-1,551.5699999999999,889.24
2653,Detached house,Mixed-Humid,1960-1969,2772.0,Central,E: 15-19 yrs,Central heat pump,0.0,0.0,1.0,3,1.0,,1,Rented,130.96,382.59,447.74,0,0.0,0-1,1314.32,2275.6099999999997
