,UNIT_TYPE,CLIMATE_REGION,DECADE_BUILT,HDD65,CDD65,FLOOR_AREA,FLOOR_AREA_log,COOL_TYPE,EQUIP_AGE,HEAT_TYPE,THERMOSTAT,HIGH_CEIL,ATTIC,BASEMENT,BEDROOMS,BATHROOMS,SIZEOFGARAGE,STORIES,OWNERSHIP,COOL_COST,COOL_COST_log,HEAT_COST,HEAT_COST_log,WATERHEAT_COST,WATERHEAT_COST_log,ELECT_COST,ELECT_COST_log
2429,Apartment in bld with 5+ units,Mixed-Humid,1970-1979,3189.0,2181.0,992.0,6.899723107284872,Central,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,0.0,2,1.0,0.0,1,Rented,156.9,5.055608659738987,459.64,6.1304435743894325,739.18,6.60554146368439,1421.28,7.259313153021391
2430,Detached house,Cold/Very Cold,2010-2015,5355.0,986.0,5647.0,8.638879709672837,Central,C: 5-9 yrs,Central furnace,1.0,1.0,1.0,1.0,5,2.5,3.0,2,Owned,152.47,5.026967855383815,965.44,6.872583955970696,241.65,5.487490398291093,606.53,6.407754191299294
2431,Apartment in bld with 2-4 units,Cold/Very Cold,1970-1979,5267.0,1305.0,664.0,6.498282149476434,Individual,A: -2 yrs,Other individual,1.0,0.0,0.0,0.0,0,1.0,0.0,1,Rented,56.89,4.041119578762556,522.05,6.25776336873612,126.71,4.841901010810817,611.23,6.415473320417376
2432,Detached house,Cold/Very Cold,1980-1989,6945.0,475.0,3232.0,8.080856419640986,None,C: 5-9 yrs,Central heat pump,0.0,1.0,1.0,1.0,3,2.0,0.0,1,Owned,0.0,0.0,181.5,5.201255653704905,316.55,5.7574812069901355,1364.65,7.21865326448392
2433,Detached house,Cold/Very Cold,1970-1979,6441.0,840.0,3510.0,8.163371316459912,Central,E: 15-19 yrs,Central furnace,0.0,0.0,1.0,1.0,3,2.0,0.0,1,Owned,145.91,4.982989993275931,488.42,6.19117569143907,413.56,6.0248026067184925,1345.33,7.204394615101626
2434,Detached house,Cold/Very Cold,.<1950,6778.0,870.0,1272.0,7.148345743900068,Individual,A: -2 yrs,Central furnace,0.0,1.0,0.0,0.0,2,1.0,0.0,1,Owned,40.06,3.6903783302376723,916.85,6.8209438819951735,351.21,5.86138433515969,1043.38,6.950220722300307
2435,Detached house,Hot-Dry/Mixed-Dry,1970-1979,1975.0,1318.0,1400.0,7.24422751560335,Individual,A: -2 yrs,Central furnace,1.0,0.0,1.0,0.0,4,2.0,2.0,1,Rented,63.28,4.147569323459399,53.6,3.9815490680767565,194.13,5.268528037737284,701.95,6.55386217641796
2436,Detached house,Hot-Humid,2000-2009,1404.0,2959.0,4320.0,8.371010681238156,Central,D: 10-14 yrs,Central furnace,1.0,1.0,1.0,1.0,3,2.5,0.0,2,Owned,807.6,6.694066886438683,169.3,5.13167228913909,143.71,4.9677973800861555,609.08,6.411949621972532
2437,Apartment in bld with 5+ units,Hot-Humid,1970-1979,519.0,4747.0,1156.0,7.052721049232323,Central,C: 5-9 yrs,Central furnace,0.0,0.0,0.0,0.0,3,2.0,0.0,1,Rented,148.6,5.001258132283659,37.2,3.616308761279101,184.27,5.21640207334677,513.14,6.240548712422545
2438,Detached house,Marine,1950-1959,1930.0,337.0,1910.0,7.554858521040676,Individual,B: 2-4 yrs,Central furnace,1.0,0.0,0.0,0.0,3,2.0,2.0,1,Owned,42.48,3.749033376933683,795.96,6.679548933325465,513.93,6.242087069410477,1175.52,7.069465881871968
2439,Detached house,Mixed-Humid,1960-1969,5415.0,942.0,3200.0,8.070906088787819,Central,E: 15-19 yrs,Central furnace,1.0,1.0,0.0,1.0,3,2.5,2.0,1,Owned,34.67,3.545874759696932,415.56,6.029627008202331,248.53,5.515563562596163,529.8000000000002,6.27249957683797
2440,Detached house,Hot-Dry/Mixed-Dry,1990-1999,1522.0,4028.0,1938.0,7.569411792450712,Central,D: 10-14 yrs,Central furnace,1.0,1.0,0.0,0.0,3,2.0,2.0,1,Owned,644.29,6.468148935303987,72.9,4.289088639014612,132.35,4.88544992867311,845.44,6.739857201893906
2441,Apartment in bld with 5+ units,Marine,2010-2015,4284.0,237.0,1029.0,6.9363427358340495,None,A: -2 yrs,Other individual,0.0,0.0,0.0,0.0,2,2.0,0.0,1,Owned,0.0,0.0,47.52,3.8611506750543896,112.26,4.720817609514054,463.65,6.139129957246235
2442,Apartment in bld with 2-4 units,Hot-Humid,.<1950,1899.0,3005.0,623.0,6.434546518787453,Central,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,0.0,1,1.0,0.0,1,Rented,215.43,5.372636030790336,350.86,5.860387283501039,60.66,4.105284502260435,582.5699999999998,6.367449349893638
2443,Detached house,Cold/Very Cold,1980-1989,4518.0,1435.0,5204.0,8.557182839632397,Central,A: -2 yrs,Central furnace,1.0,1.0,1.0,1.0,4,3.5,2.0,1,Owned,117.58,4.7671189529741085,263.27,5.5731801215375585,290.01,5.669915405144624,575.56,6.355343479895216
2444,Detached house,Mixed-Humid,1970-1979,2781.0,1982.0,2550.0,7.843848638152472,Both central and individual,B: 2-4 yrs,Central furnace,0.0,0.0,0.0,1.0,4,2.0,1.0,1,Owned,208.62,5.340514415247825,705.1,6.558339636724995,488.62,6.191585091264652,1997.61,7.599706744960242
2445,Detached house,Cold/Very Cold,.<1950,6184.0,825.0,2317.0,7.748028524432376,Central,C: 5-9 yrs,Central furnace,1.0,0.0,1.0,1.0,3,1.5,0.0,2,Owned,209.62,5.345296367742031,666.08,6.5014097834466655,99.55,4.6006600305102054,1119.77,7.020878586057618
2446,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,1980-1989,666.0,1200.0,538.0,6.2878585601617845,None,None,None,0.0,0.0,0.0,0.0,1,1.0,0.0,1,Rented,0.0,0.0,0.0,0.0,128.37,4.854916719096835,220.01,5.39367299986479
2447,Detached house,Mixed-Humid,1950-1959,4503.0,1454.0,2460.0,7.807916628926408,Central,D: 10-14 yrs,Central furnace,1.0,0.0,1.0,1.0,4,2.0,0.0,1,Owned,311.47,5.741303025403381,1695.05,7.435467517904551,185.1,5.220896219579452,1494.16,7.309319455005352
2448,Detached house,Marine,1950-1959,3819.0,590.0,1339.0,7.199678345691172,None,B: 2-4 yrs,Central furnace,1.0,0.0,0.0,0.0,3,1.0,2.0,2,Owned,0.0,0.0,387.22,5.958993006961019,101.59,4.620945105103454,633.77,6.451686112592848
2449,Detached house,Marine,1970-1979,2020.0,267.0,2620.0,7.8709295967551425,None,C: 5-9 yrs,Central furnace,0.0,1.0,0.0,0.0,4,2.0,2.0,Split-level,Owned,0.0,0.0,418.44,6.03653351047556,163.37,5.096017567038417,1068.74,6.974235663482049
2450,Detached house,Hot-Dry/Mixed-Dry,1980-1989,3851.0,1435.0,2704.0,7.902487437162855,Central,A: -2 yrs,Central furnace,1.0,1.0,0.0,0.0,4,2.0,2.0,1,Owned,188.91,5.241270711168761,886.73,6.787540539128165,153.36,5.032788098737389,1713.64,7.44637504209145
2451,Detached house,Hot-Dry/Mixed-Dry,1950-1959,654.0,1263.0,1140.0,7.038783541388542,None,C: 5-9 yrs,Central furnace,1.0,0.0,0.0,0.0,3,2.0,1.0,1,Owned,0.0,0.0,59.73,4.089834406744215,26.98,3.2950958507796098,158.78,5.067519596296967
2452,Detached house,Cold/Very Cold,2000-2009,5251.0,1153.0,1232.0,7.116394144093465,Central,D: 10-14 yrs,Central heat pump,0.0,0.0,1.0,1.0,3,2.5,2.0,2,Owned,122.5,4.808111029984782,935.18,6.84073902412935,752.58,6.623507303264638,2433.86,7.797233753405135
2453,Detached house,Cold/Very Cold,2000-2009,5927.0,702.0,1625.0,7.393263094763838,Individual,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,0.0,4,2.0,0.0,1,Owned,77.68,4.35259782398307,665.42,6.500418420241177,288.56,5.664903036595284,1381.6699999999996,7.231048191443611
2454,Detached house,Mixed-Humid,.<1950,4920.0,1325.0,1456.0,7.283448228756631,Central,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,1.0,3,1.0,0.0,1,Owned,388.78,5.9630136309339665,573.91,6.352472589600948,240.74,5.483717512951589,831.77,6.723555960296298
2455,Apartment in bld with 2-4 units,Cold/Very Cold,.<1950,6378.0,678.0,769.0,6.645090969505644,Individual,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,0.0,2,1.0,0.0,1,Rented,42.95,3.7600366484302645,355.7,5.874087678954409,428.13,6.059426887780409,591.91,6.383354596299699
2456,Detached house,Cold/Very Cold,1950-1959,7683.0,388.0,2102.0,7.650644551436897,Central,C: 5-9 yrs,Central furnace,1.0,0.0,1.0,1.0,3,1.5,3.0,1,Owned,29.83,3.395514598526657,1286.02,7.159307456776165,92.58,4.528073135603124,970.9,6.878223476376099
2457,Detached house,Mixed-Humid,1950-1959,3173.0,1844.0,1416.0,7.255591274253665,Central,C: 5-9 yrs,Central heat pump,0.0,0.0,1.0,0.0,3,1.5,0.0,1,Owned,221.77,5.401640808779938,443.19,6.0939985720016265,170.69,5.139849045776241,1211.48,7.0995980316597285
2458,Detached house,Hot-Humid,1990-1999,1337.0,3466.0,1712.0,7.445417556701687,Central,E: 15-19 yrs,Central furnace,0.0,1.0,1.0,0.0,3,2.0,2.0,1,Owned,312.15,5.743483841507753,333.58,5.809882716649027,200.58,5.301213169660063,1007.87,6.915594472060225
2459,Detached house,Cold/Very Cold,1950-1959,8162.0,7.0,1900.0,7.549609165154532,None,C: 5-9 yrs,Other individual,1.0,0.0,1.0,0.0,3,2.0,1.0,1,Owned,0.0,0.0,1172.96,7.067285747475276,765.74,6.640842686535221,2494.65,7.8219037177842585
2460,Detached house,Cold/Very Cold,1990-1999,5394.0,1160.0,5987.0,8.697345730925353,Central,F: +20 yrs,Central furnace,0.0,1.0,0.0,1.0,4,3.0,2.0,1,Owned,203.57,5.316009926078955,1387.45,7.23522280893524,406.59,6.007805306696034,2942.3,7.9869468674106425
2461,Mobile home,Hot-Humid,1990-1999,1171.0,3248.0,1863.0,7.529943370601589,Both central and individual,C: 5-9 yrs,Central heat pump,1.0,0.0,0.0,0.0,3,2.0,0.0,1,Owned,407.62,6.010335367858233,124.27,4.822456617817903,326.24,5.787633306826145,1249.38,7.130402707247657
2462,Detached house,Cold/Very Cold,.<1950,6466.0,823.0,1938.0,7.569411792450712,Central,D: 10-14 yrs,Central furnace,0.0,1.0,1.0,1.0,5,2.0,0.0,2,Owned,157.26,5.05790048656337,869.87,6.768343775196203,869.02,6.767366139960275,2057.63,7.629310114030324
2463,Detached house,Mixed-Humid,.<1950,3660.0,1217.0,2880.0,7.965545573129992,Individual,A: -2 yrs,Central furnace,0.0,0.0,0.0,0.0,4,1.0,0.0,2,Owned,285.04,5.65262952129758,1512.76,7.321691075958189,584.72,6.371133100172137,1877.49,7.537691057392414
2464,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,1990-1999,2598.0,1617.0,693.0,6.541029999189903,Central,A: -2 yrs,Other individual,0.0,0.0,0.0,0.0,0,1.0,0.0,1,Rented,34.43,3.5389282773504322,46.1,3.8308129500026027,118.33,4.773477331396467,463.25,6.138266865165469
2465,Detached house,Marine,1950-1959,3962.0,499.0,1654.0,7.4109518755836366,Individual,A: -2 yrs,Central heat pump,0.0,1.0,1.0,0.0,3,1.5,1.0,2,Owned,46.33,3.835789699428557,282.36,5.643182852527271,387.53,5.959793265151517,1412.98,7.253456228302684
2466,Detached house,Mixed-Humid,1970-1979,4576.0,1345.0,1917.0,7.558516743045645,Both central and individual,F: +20 yrs,Central furnace,0.0,0.0,1.0,0.0,3,2.5,0.0,1,Owned,310.56,5.7383771194207,940.85,6.846783721990653,488.41,6.191155217047414,1119.23,7.020396227852642
2467,Detached house,Marine,1970-1979,1931.0,541.0,2898.0,7.971776122880628,Central,A: -2 yrs,Central furnace,1.0,1.0,1.0,0.0,5,3.0,2.0,2,Owned,146.83,4.989275454974846,673.47,6.512443451428487,442.23,6.091830108727296,1810.9,7.501579238247297
2468,Detached house,Marine,1960-1969,3994.0,478.0,1871.0,7.534228326274089,None,F: +20 yrs,Central furnace,1.0,0.0,1.0,0.0,3,1.5,2.0,1,Owned,0.0,0.0,229.01,5.433765670723085,243.9,5.496758305221874,516.54,6.247152729897918
2469,Apartment in bld with 2-4 units,Hot-Humid,1980-1989,404.0,3474.0,1259.0,7.138073034044347,Central,A: -2 yrs,Central furnace,1.0,0.0,0.0,0.0,3,2.5,0.0,1,Owned,163.99,5.099805450355355,36.1,3.586292865338835,147.22,4.991928066630559,510.87,6.236115154706623
2470,Apartment in bld with 5+ units,Marine,2000-2009,3867.0,559.0,1014.0,6.921658184151129,Individual,B: 2-4 yrs,Other individual,0.0,0.0,0.0,0.0,2,1.0,0.0,1,Rented,6.06,1.801709800081223,103.8,4.642465970731788,317.0,5.75890177387728,586.07,6.373439236367876
2471,Attached house,Hot-Dry/Mixed-Dry,1960-1969,686.0,1541.0,668.0,6.504288173536645,Individual,A: -2 yrs,Central furnace,1.0,0.0,0.0,0.0,2,2.0,2.0,1,Rented,171.73,5.145923475995771,26.69,3.284288963416433,146.84,4.989343558628634,946.44,6.8527075771979
2472,Detached house,Hot-Humid,2010-2015,1471.0,2782.0,3255.0,8.08794755464267,Central,C: 5-9 yrs,Central heat pump,1.0,1.0,1.0,0.0,3,2.5,2.0,1,Owned,443.75,6.095261340789626,228.83,5.432979369791433,253.5,5.535363823031238,1273.95,7.149877588894128
2473,Attached house,Hot-Humid,1970-1979,404.0,4019.0,1055.0,6.961296045910167,Central,A: -2 yrs,Central heat pump,1.0,0.0,1.0,0.0,2,2.0,1.0,1,Owned,632.54,6.44974345970876,51.45,3.9406104622800586,541.48,6.294306131317586,1386.46,7.234509015018325
2474,Detached house,Cold/Very Cold,2010-2015,5090.0,1088.0,2497.0,7.822845290279774,Individual,C: 5-9 yrs,Other individual,1.0,0.0,1.0,0.0,4,2.5,2.0,2,Owned,19.59,2.9750192319564492,372.81,5.9210689064860125,291.14,5.673804251136515,908.41,6.81169581853717
2475,Detached house,Mixed-Humid,2000-2009,2676.0,1705.0,7030.0,8.857941984804711,Central,D: 10-14 yrs,Central heat pump,1.0,1.0,1.0,1.0,5,4.5,3.0,2,Owned,815.3,6.703556143668865,635.43,6.4543019350740165,537.88,6.287635486955669,1528.4,7.331976715572745
2476,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,1960-1969,883.0,1103.0,528.0,6.269096283706261,Individual,None,None,0.0,0.0,0.0,0.0,1,1.0,0.0,1,Rented,55.34,4.01349597435878,0.0,0.0,438.4,6.083131735633806,496.66,6.2079056873625165
2477,Mobile home,Mixed-Humid,1990-1999,3833.0,1951.0,980.0,6.887552571664617,None,C: 5-9 yrs,Central furnace,1.0,0.0,0.0,0.0,2,2.0,0.0,1,Rented,0.0,0.0,357.6,5.8794150432993595,613.11,6.418544365188555,1704.75,7.441173751400762
2478,Attached house,Cold/Very Cold,1990-1999,5697.0,1011.0,2126.0,7.661997558901893,Central,B: 2-4 yrs,Central furnace,1.0,0.0,0.0,1.0,3,2.5,2.0,2,Owned,53.57,3.980989209892869,580.37,6.36366583118344,83.01,4.418961082466944,438.26,6.082812341567258
2479,Detached house,Mixed-Humid,1990-1999,5352.0,966.0,3796.0,8.241703159729818,Central,A: -2 yrs,Central furnace,1.0,1.0,0.0,1.0,3,2.5,2.0,2,Owned,186.48,5.228323994727502,893.03,6.794620174937072,197.42,5.285333438989742,684.59,6.528820118919579
2480,Detached house,Mixed-Humid,1990-1999,4631.0,1362.0,1392.0,7.238496840894365,Central,A: -2 yrs,Other individual,0.0,1.0,0.0,0.0,2,2.0,2.0,1,Owned,138.83,4.933250163046711,88.81,4.486499256270413,471.2,6.155282632337377,2587.24,7.858346949433073
2481,Detached house,Cold/Very Cold,1970-1979,6203.0,897.0,4045.0,8.305236829492593,None,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,1.0,4,1.5,0.0,2,Owned,0.0,0.0,2054.84,7.627953265018396,151.34,5.019528961266375,739.42,6.6058660950953305
2482,Apartment in bld with 5+ units,Mixed-Humid,1980-1989,4494.0,1579.0,676.0,6.516193076042964,Individual,B: 2-4 yrs,Other individual,0.0,0.0,0.0,0.0,1,1.0,0.0,1,Rented,144.13,4.970715670095012,80.7,4.390738575275903,279.5,5.633002292595154,704.96,6.558141063613978
2483,Detached house,Cold/Very Cold,.<1950,4924.0,1192.0,2050.0,7.6255950721324535,Both central and individual,C: 5-9 yrs,Central furnace,0.0,1.0,1.0,0.0,3,2.5,2.0,1,Owned,314.39,5.750634253433434,1539.15,7.338985594976328,228.91,5.433328913203914,1442.8200000000004,7.274354810868434
2484,Detached house,Mixed-Humid,.<1950,2994.0,1867.0,2640.0,7.878534196140362,Both central and individual,F: +20 yrs,Other individual,0.0,0.0,1.0,0.0,3,1.5,0.0,1,Owned,505.15,6.224855414873741,62.89,4.141387168555412,424.09,6.049945696858054,1214.35,7.10196423319823
2485,Detached house,Marine,1960-1969,3484.0,723.0,1386.0,7.234177179749849,Both central and individual,C: 5-9 yrs,Central furnace,1.0,0.0,0.0,1.0,3,2.5,2.0,2,Owned,62.59,4.13660552093661,448.64,6.106220784406171,1345.63,7.204617583857195,2370.01,7.770649453529558
2486,Mobile home,Mixed-Humid,1990-1999,2479.0,2021.0,1150.0,7.047517221357296,Individual,A: -2 yrs,Other individual,0.0,0.0,0.0,0.0,3,2.0,0.0,1,Owned,104.98,4.653769855824153,222.94,5.406902676961478,714.58,6.5716949575122285,1339.71,7.200208451612774
2487,Attached house,Hot-Humid,1950-1959,446.0,2970.0,1307.0,7.175489713624222,Central,B: 2-4 yrs,Central heat pump,0.0,0.0,0.0,0.0,2,2.0,0.0,1,Owned,711.93,6.567979591972036,51.02,3.9322177127136655,281.36,5.639634988165727,714.39,6.571429031703961
2488,Detached house,Cold/Very Cold,1950-1959,5976.0,792.0,1656.0,7.412160334945205,Central,D: 10-14 yrs,Central furnace,1.0,0.0,1.0,1.0,2,1.0,0.0,1,Owned,171.31,5.143474780742367,406.77,6.008247915142327,149.37,5.006426449322201,840.19,6.7336280567363405
2489,Detached house,Cold/Very Cold,1970-1979,4618.0,1472.0,4955.0,8.508152446764088,Central,F: +20 yrs,Central furnace,1.0,1.0,0.0,1.0,3,2.0,3.0,2,Owned,304.68,5.719262045504587,1984.13,7.592935809891751,359.02,5.883378097242924,2453.03,7.805079274106248
2490,Detached house,Hot-Humid,2000-2009,1833.0,2779.0,3116.0,8.044305406990638,Central,C: 5-9 yrs,Central furnace,1.0,0.0,0.0,0.0,4,3.0,0.0,1,Owned,502.21,6.2190183589107395,689.2,6.5355315046537745,474.85,6.162998964688962,2253.6,7.720284216562163
2491,Attached house,Hot-Humid,2000-2009,1400.0,2782.0,1912.0,7.555905093611346,Central,C: 5-9 yrs,Central heat pump,1.0,0.0,0.0,0.0,3,2.5,2.0,2,Rented,322.28,5.775420732908995,135.79,4.911109574710704,267.87,5.590501788197235,615.72,6.422792314741874
2492,Detached house,Mixed-Humid,.<1950,4779.0,1384.0,2784.0,7.931644021454311,Central,C: 5-9 yrs,Central furnace,1.0,1.0,1.0,1.0,4,2.0,0.0,2,Owned,640.88,6.462842231906861,632.24,6.44926906889672,149.36,5.006359499233468,1319.75,7.185197603703726
2493,Apartment in bld with 2-4 units,Cold/Very Cold,1980-1989,7384.0,474.0,672.0,6.51025834052315,Central,C: 5-9 yrs,Central heat pump,1.0,0.0,0.0,0.0,2,2.0,0.0,1,Owned,50.25,3.917010546939185,879.83,6.779728706992059,518.77,6.251460625018581,2249.45,7.718441020872609
2494,Apartment in bld with 5+ units,Cold/Very Cold,1950-1959,4608.0,1683.0,720.0,6.579251212010101,Individual,F: +20 yrs,Central furnace,0.0,0.0,0.0,0.0,1,1.0,0.0,1,Owned,61.94,4.126166174545057,236.61,5.466413216078009,93.44,4.537319519079917,313.6,5.7481182884762525
2495,Mobile home,Hot-Dry/Mixed-Dry,1970-1979,1725.0,3507.0,1298.0,7.168579897264035,Central,C: 5-9 yrs,Other individual,0.0,0.0,0.0,0.0,3,2.0,0.0,1,Rented,412.74,6.022817854765978,421.71,6.044317874011784,628.44,6.443240558079396,1602.26,7.37917041158814
2496,Detached house,Cold/Very Cold,1970-1979,7899.0,597.0,2659.0,7.88570539124302,Central,E: 15-19 yrs,Central furnace,1.0,0.0,0.0,1.0,3,2.0,2.0,1,Owned,68.42,4.225665179549459,572.13,6.349366238284537,276.98,5.6239453014145715,1153.71,7.050738115660263
2497,Mobile home,Cold/Very Cold,1970-1979,6203.0,814.0,756.0,6.628041376179533,Central,E: 15-19 yrs,Central furnace,0.0,0.0,0.0,0.0,2,1.0,0.0,1,Owned,69.74,4.2447740412475055,358.33,5.881454349524805,63.5,4.151039905898646,299.26,5.701312760755274
2498,Detached house,Hot-Humid,1970-1979,83.0,5130.0,1560.0,7.352441100243583,Central,None,None,0.0,0.0,0.0,0.0,3,2.0,0.0,1,Owned,745.32,6.613813656359212,0.0,0.0,371.92,5.918678777382329,969.18,6.8764503531537216
2499,Detached house,Mixed-Humid,2000-2009,3162.0,2170.0,6027.0,8.704004653483045,Both central and individual,D: 10-14 yrs,Central furnace,0.0,1.0,1.0,0.0,3,2.0,2.0,2,Owned,197.99,5.2882165243686075,1061.54,6.967475962958072,250.32,5.522740099360627,851.6299999999999,6.747152160205322
2500,Detached house,Mixed-Humid,2000-2009,3910.0,1732.0,2222.0,7.706162970199576,Central,C: 5-9 yrs,Central furnace,1.0,0.0,1.0,1.0,3,2.5,2.0,1,Owned,133.27,4.892377145591635,924.65,6.829415287530885,679.44,6.521268929471754,2991.58,8.003556954909419
2501,Detached house,Mixed-Humid,1980-1989,3956.0,1842.0,5026.0,8.522379718103538,Central,A: -2 yrs,Central heat pump,1.0,0.0,1.0,1.0,5,2.5,2.0,1,Owned,332.01,5.805165088944803,470.57,6.153944725854957,749.01,6.618752334562941,1788.7900000000004,7.489294692605261
2502,Detached house,Cold/Very Cold,.<1950,5254.0,795.0,1692.0,7.433666540166168,Individual,E: 15-19 yrs,Central furnace,1.0,1.0,1.0,1.0,4,3.0,0.0,2,Owned,62.88,4.141228148120951,919.26,6.823568998555717,205.98,5.327779076697656,1057.2299999999998,6.963407559172014
2503,Detached house,Mixed-Humid,1950-1959,4899.0,1198.0,4297.0,8.365672383774996,Individual,F: +20 yrs,Central furnace,1.0,1.0,1.0,1.0,4,1.5,1.0,2,Owned,57.58,4.05317528518403,1695.67,7.435833221947887,243.31,5.494336350465589,950.24,6.85671458426755
2504,Detached house,Cold/Very Cold,.<1950,5051.0,953.0,3272.0,8.093156697722637,Individual,C: 5-9 yrs,Central furnace,0.0,0.0,1.0,1.0,3,1.0,2.0,1,Owned,66.87,4.202750436065887,1207.11,7.095984351990553,622.55,6.433823946398421,1415.06,7.254927212005219
2505,Detached house,Mixed-Humid,.<1950,4712.0,1196.0,3240.0,8.083328608786376,Central,D: 10-14 yrs,Other individual,1.0,0.0,0.0,1.0,3,2.0,0.0,2,Owned,109.43,4.695285075430352,1350.25,7.208045039473,427.97,6.059053099667191,493.09,6.200691713162344
2506,Detached house,Marine,1980-1989,4337.0,219.0,2765.0,7.9247959139564355,Individual,F: +20 yrs,Other individual,0.0,1.0,1.0,1.0,3,3.0,2.0,1,Owned,24.55,3.2007118542405295,334.51,5.812666774487644,385.26,5.953918431034012,1459.87,7.286102669642098
2507,Mobile home,Cold/Very Cold,1990-1999,6348.0,392.0,352.0,5.863631175598097,Both central and individual,C: 5-9 yrs,Other individual,0.0,0.0,0.0,0.0,1,1.0,0.0,1,Owned,6.1,1.8082887711792655,445.83,6.099937713438588,371.55,5.917683444603479,891.78,6.793219465388859
2508,Apartment in bld with 2-4 units,Hot-Humid,2010-2015,861.0,3266.0,1144.0,7.042286171939743,Central,C: 5-9 yrs,Other individual,1.0,0.0,0.0,0.0,2,2.0,0.0,1,Owned,129.85,4.866379938108757,59.45,4.085135623136791,166.74,5.116435712982468,819.3199999999998,6.708474727932455
2509,Attached house,Mixed-Humid,1980-1989,4121.0,1476.0,1710.0,7.444248649496705,Central,E: 15-19 yrs,Central furnace,1.0,0.0,0.0,1.0,2,2.0,0.0,2,Rented,166.99,5.117933930384341,363.73,5.896411834156222,379.0,5.937536205082426,1350.49,7.208222768540317
2510,Detached house,Cold/Very Cold,.<1950,7398.0,478.0,2880.0,7.965545573129992,Individual,E: 15-19 yrs,Central furnace,0.0,0.0,0.0,1.0,4,1.0,0.0,2,Owned,82.79,4.416307281150715,1445.99,7.276549487065474,414.91,6.028061629241669,1121.93,7.0228056955445926
2511,Detached house,Cold/Very Cold,2000-2009,7500.0,102.0,1821.0,7.507141079727608,None,C: 5-9 yrs,Central water system,0.0,1.0,0.0,0.0,3,3.5,0.0,1,Owned,0.0,0.0,1884.48,7.541407199756206,550.79,6.311353611279376,2564.89,7.849670871695029
2512,Detached house,Cold/Very Cold,1990-1999,5208.0,1129.0,2561.0,7.848153086199526,Central,E: 15-19 yrs,Central furnace,1.0,0.0,1.0,1.0,3,2.5,2.0,2,Owned,303.77,5.716270836108562,788.84,6.670563511941868,105.6,4.659658371272161,781.26,6.660908000968692
2513,Detached house,Cold/Very Cold,1960-1969,5801.0,755.0,3927.0,8.27563105457801,Central,D: 10-14 yrs,Central furnace,1.0,1.0,1.0,1.0,5,3.0,2.0,2,Owned,369.36,5.911771778198734,1546.1,7.343490910108549,450.83,6.111090328309851,2427.52,7.794625439060479
2514,Detached house,Marine,1960-1969,2839.0,389.0,5332.0,8.5814816812986,None,E: 15-19 yrs,Central furnace,1.0,0.0,1.0,0.0,4,3.0,2.0,2,Rented,0.0,0.0,308.61,5.7320783438110485,388.81,5.963090792420135,1735.82,7.45923520320852
2515,Detached house,Mixed-Humid,2000-2009,2518.0,2208.0,2040.0,7.620705086838262,Central,D: 10-14 yrs,Central furnace,1.0,0.0,1.0,0.0,3,2.5,2.0,1,Owned,402.54,5.997794470802852,471.45,6.155813051911687,414.93,6.028109831304726,1485.3,7.303372051035487
2516,Detached house,Hot-Dry/Mixed-Dry,1980-1989,1916.0,2486.0,1891.0,7.544861068658458,None,F: +20 yrs,Other individual,0.0,0.0,0.0,0.0,4,2.0,1.0,1,Rented,0.0,0.0,206.93,5.332380571823737,263.06,5.572382143040633,1751.87,7.4684390678300705
2517,Detached house,Hot-Dry/Mixed-Dry,1980-1989,3760.0,1615.0,1943.0,7.57198844937744,Central,F: +20 yrs,Central furnace,1.0,1.0,1.0,0.0,4,2.0,2.0,1,Owned,93.79,4.541058240520847,505.23,6.225013771136073,129.4,4.8629083820668,573.73,6.352158902379387
2518,Detached house,Marine,1980-1989,1876.0,378.0,2487.0,7.818832443803404,None,C: 5-9 yrs,Central furnace,1.0,1.0,0.0,1.0,4,2.0,2.0,2,Owned,0.0,0.0,285.62,5.654662256024787,186.26,5.227143547093512,1165.44,7.060853977099188
2519,Apartment in bld with 5+ units,Marine,1980-1989,1983.0,295.0,716.0,6.573680166960646,Central,F: +20 yrs,Central furnace,1.0,1.0,0.0,0.0,1,1.0,0.0,1,Rented,9.32,2.2321626286975,81.86,4.405010471064257,52.52,3.9611940494345954,353.3400000000001,5.867430766184535
2520,Apartment in bld with 5+ units,Marine,1980-1989,2852.0,381.0,942.0,6.848005274576363,Central,E: 15-19 yrs,Central furnace,0.0,0.0,0.0,0.0,2,2.0,0.0,1,Rented,7.97,2.075684492802124,66.92,4.2034978761186235,255.31,5.542478493084716,521.65,6.256996864913979
2521,Detached house,Mixed-Humid,1970-1979,2665.0,1909.0,4778.0,8.471777327885755,Central,B: 2-4 yrs,Central furnace,1.0,1.0,1.0,1.0,4,4.5,2.0,2,Owned,922.19,6.826751276079026,1245.51,7.127300363574058,210.24,5.348249735296246,1453.52,7.281743479794185
